x1,x2,x3,y
0.22395477412995246,0.9168169665196364,0.7767080733126713,0
0.3864203124766932,0.0516336979891292,0.2164752471472282,1
0.6250901525593934,0.4886298801933193,0.25488858521041424,1
0.869560159928732,0.5945006614941997,0.33060396747778953,1
0.3284119756575976,0.6378073043938292,0.9714562668374809,0
0.9142645603485334,0.9393874102293139,0.17056597967091724,1
0.30671934942543666,0.936940192092236,0.12742787895828422,1
0.7683148216312268,0.26148428126137924,0.8851547077462376,1
0.2589388671681825,0.6929677249248082,0.09987660863045933,1
0.7885656917072932,0.18639833164774977,0.47159331191177534,1
0.9805156410999077,0.49951166123240365,0.9647320363018083,1
0.10819985569606239,0.368344683629533,0.44609098833588845,0
0.21333077996927963,0.8241524969681856,0.13171260210744995,1
0.2890852649416292,0.5891696560159214,0.6822770916071943,0
0.15180023299417889,0.7004356254729546,0.007556028186582742,1
0.8373454953408622,0.2725773119330558,0.5882592479175838,1
0.4831667168324204,0.08977381419697139,0.8532968437152013,1
0.4598485197534883,0.8166098249171255,0.24195883955381392,1
0.4770973291857281,0.7735201972373134,0.22879128814166227,1
0.01640398501529927,0.7378472549504222,0.054379566687968395,1
0.7309029324995648,0.2589107435307898,0.6526381264580087,1
0.30289171288504846,0.9202168738813393,0.09292638773139572,1
0.4078651914533866,0.30122283039836784,0.6599321538502966,1
0.7238811925394353,0.14469995583134787,0.655326736289725,1
0.6860245957815877,0.34063740596617675,0.31154472212109263,1
0.7974278767505197,0.9795291003125702,0.10081088254686144,1
0.5392822527352653,0.6453970437629255,0.06678440766108551,1
0.2932040281868169,0.41087385784455044,0.022109672749706433,1
0.006177992986355463,0.17420352851438947,0.4481031389261195,0
0.6987697005638219,0.6783986845428019,0.9557325532204279,0
0.8152460989237719,0.5074614397775117,0.9412613971650942,1
0.8649738751164163,0.5589913313823127,0.32711301941736004,1
0.7705232834177501,0.4496042776544448,0.31641282419307504,1
0.25432128106611673,0.3630768018141054,0.5581515629930748,0
0.2773126052644336,0.5941312992612626,0.9057909349948615,0
